"id","esco","esco.ec","esco.mc","esco.soc","cred1","cred2","cred3","cred4","prop.aprob.exam","gen","horas","sexto","edad","Xfem","Xhijos","Xocup","XeduP","XeduM","carr11","carr14","EDAoMCEDA","busca.trabajo","sexto.mvd","sexto.priv"
605,6.5,0,0,6,10,0,0,10,0,2012,"Entre 30 y 40 horas","Montevideo Publica",19,1,0,1,"Medio","Bajo",0,0,0,0,1,0
608,0,0,0,0,0,0,0,0,NA,2012,"Entre 20 y 30 horas","Montevideo Publica",21,0,0,1,"Bajo","Bajo",0,0,0,0,1,0
611,NA,NA,NA,NA,0,0,0,0,NA,2012,"No corresponde","Interior Publica",18,1,0,0,"Alto","Bajo",0,0,1,1,0,0
615,1.94736842105263,1.8,3,2.28571428571429,10,20,40,20,0.666666666666667,2013,"No corresponde","Interior Publica",18,0,0,0,"Medio","Medio",1,0,0,0,0,0
618,8.43243243243243,8.6875,7.8,9,90,80,110,70,0.189189189189189,2013,"No corresponde","Montevideo Publica",18,0,0,0,"Medio","Alto",0,0,0,0,1,0
620,8.44117647058824,8.85,6.85714285714286,8.5,90,80,100,70,0.0294117647058824,2013,"No corresponde","Montevideo Privada",17,0,0,0,"Alto","Alto",1,0,0,1,1,1
624,7.9,8,7.8,7.6,90,50,50,60,0.12,2012,"Entre 10 y 20 horas","Interior Publica",18,0,0,1,"Bajo","Alto",0,0,0,0,0,0
630,NA,NA,NA,NA,0,0,0,0,NA,2013,"No corresponde","Montevideo Publica",18,0,0,0,"Medio","Bajo",0,0,1,0,1,0
644,4.75,5.44444444444444,1.57142857142857,8.25,40,70,60,10,0.176470588235294,2012,"No corresponde","Montevideo Publica",17,1,0,0,"Alto","Medio",0,0,0,0,1,0
645,5.05263157894737,8,4.83333333333333,7.5,60,40,30,20,0.285714285714286,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Alto",1,0,0,0,1,1
646,1.8,6,0,0,20,0,0,0,1,2013,"No corresponde","Interior Privada",17,1,0,0,"Medio","Bajo",1,0,0,0,0,1
650,8.26470588235294,8,8.125,9,90,70,90,90,0.0588235294117647,2012,"No corresponde","Montevideo Privada",17,1,0,0,"Medio","Medio",0,0,0,1,1,1
653,4.88,5.7,4.5,3.75,70,50,30,50,0.105263157894737,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Medio","Bajo",1,0,0,0,1,1
654,NA,NA,NA,NA,0,0,0,0,NA,2012,"Entre 30 y 40 horas","Interior Privada",20,0,0,1,"Medio","Medio",0,0,0,0,0,1
655,1.5,6,0,0,10,0,0,0,0,2013,"No corresponde","Interior Privada",19,0,0,0,"Alto","Medio",1,0,0,0,0,1
656,6.08,6.07692307692308,5,6.75,90,50,30,50,0.0909090909090909,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Bajo","Medio",0,0,0,0,1,1
658,NA,NA,NA,NA,0,0,0,0,NA,2013,"No corresponde","Montevideo Privada",18,1,0,0,"Alto","Alto",0,0,0,0,1,1
659,NA,NA,NA,NA,0,0,0,0,NA,2012,"Entre 30 y 40 horas","Montevideo Privada",22,0,0,1,"Medio","Bajo",1,0,0,0,1,1
661,0,0,0,0,0,0,0,0,NA,2013,"No corresponde","Interior Privada",18,1,0,0,"Alto","Medio",1,0,1,0,0,1
666,2.42105263157895,2.5,1.2,4.5,50,10,0,20,0.625,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Alto","Medio",0,0,0,0,1,1
667,5.27272727272727,3,6,8,0,25,20,35,0.125,2013,"Entre 10 y 20 horas","Montevideo Publica",19,0,0,1,NA,"Bajo",1,0,1,0,1,0
668,7.76470588235294,8,7,7.5,80,50,20,30,0.0588235294117647,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Alto","Medio",1,0,0,0,1,1
669,5.51351351351351,6,8,7.4,90,100,45,55,0.482758620689655,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Medio",1,0,0,0,1,1
672,NA,NA,NA,NA,0,0,0,0,NA,2013,"No corresponde","Montevideo Publica",22,1,0,0,"Medio","Alto",0,0,0,1,1,0
675,5.61538461538461,6.75,3.8,4.83333333333333,60,70,70,20,0.181818181818182,2012,"No corresponde","Interior Publica",17,1,0,0,"Bajo","Bajo",1,1,0,1,0,0
676,7.03846153846154,7.7,5.85714285714286,8.16666666666667,80,70,50,70,0.192307692307692,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Medio","Medio",0,1,0,0,1,1
678,7.5,7.76923076923077,6,7.75,90,70,80,90,0.0606060606060606,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Alto","Alto",1,0,0,0,1,1
681,1.5,3,0,6,20,0,0,0,0,2013,"No corresponde","Interior Publica",18,1,0,0,"Alto","Alto",1,0,1,0,0,0
687,2.2,2.4,0,10,20,0,0,10,0.333333333333333,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Medio",0,0,0,0,1,1
689,7.44444444444444,10,3.66666666666667,8,40,30,0,10,0.375,2013,"No corresponde","Interior Publica",19,1,0,0,"Medio","Medio",1,0,0,0,0,0
694,7.17857142857143,7.25,6.5,8.4,80,60,50,80,0.185185185185185,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Alto","Bajo",0,1,0,0,1,1
695,7.52631578947368,8,6.8,7,90,30,40,30,0.157894736842105,2012,"No corresponde","Interior Publica",18,1,0,0,"Bajo","Bajo",0,1,0,0,0,0
699,6,6,0,0,0,0,20,0,0,2012,"Más de 40 horas","Montevideo Publica",22,1,0,1,"Bajo","Bajo",1,0,1,0,1,0
702,5.08695652173913,5.75,3.6,7,70,40,20,50,0.277777777777778,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Alto",1,1,0,0,1,1
707,6.51724137931035,7.83333333333333,3.125,7,80,50,60,60,0.12,2013,"No corresponde","Interior Publica",18,1,0,0,"Bajo","Bajo",0,1,0,0,0,0
708,0,0,0,0,0,0,0,0,NA,2012,"No corresponde","Montevideo Publica",18,0,0,0,"Medio","Bajo",0,0,0,1,1,0
714,0,0,0,0,0,0,0,0,NA,2012,"No corresponde","Interior Publica",19,0,0,0,"Medio","Medio",0,0,0,1,0,0
718,1.42857142857143,6,0,0,30,10,0,0,0.5,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Bajo",1,0,0,0,1,1
