"articulos"	"rubro"	"subrubro"	"subsubrubro"	"familia"
"Accesorios de computación, otros"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Computadoras, accesorios y programas"	"Computadoras, accesorios y programas"
"Calculadoras, incluye de bolsillo"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Calculadoras y agendas electrónicas"	"Calculadoras y agendas electrónicas"
"Agenda electrónica"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Calculadoras y agendas electrónicas"	"Calculadoras y agendas electrónicas"
"Discos, discos compactos y cassettes (audio y video) grabados"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Medios para grabación e impresión"	"Medios para grabación e impresión"
"Cassettes de audio y video vírgenes"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Medios para grabación e impresión"	"Medios para grabación e impresión"
"Diskettes , CD  y DVD vírgenes"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Medios para grabación e impresión"	"Medios para grabación e impresión"
"Cartuchos para impresora, tonner para impresora o fotocopiadora"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Medios para grabación e impresión"	"Medios para grabación e impresión"
"Reparación de tv., video, radio, computadoras"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Reparación de equipo de esparcimiento"	"Reparación de equipo de esparcimiento"
"Reparación de filmadora y equipos fotográficos"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Reparación de equipo de esparcimiento"	"Reparación de equipo de esparcimiento"
"Botes, motores fuera de borda, velas, canoas, tablas de surf, kayac"	"RECREACION Y CULTURA"	"Otros productos duraderos para la recreación y cultura"	"Otros productos duraderos para la recreación y cultura"	"Otros productos duraderos para la recreación y cultura"
"Instrumentos musicales"	"RECREACION Y CULTURA"	"Otros productos duraderos para la recreación y cultura"	"Otros productos duraderos para la recreación y cultura"	"Otros productos duraderos para la recreación y cultura"
"Reparación de artículos duraderos de esparcimiento n.e.p. (Incluye mano de obra y materiales)"	"RECREACION Y CULTURA"	"Otros productos duraderos para la recreación y cultura"	"Otros productos duraderos para la recreación y cultura"	"Otros productos duraderos para la recreación y cultura"
"Juegos de cartas, caja, dados, ajedrez"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Videojuegos, aparato de"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Videojuegos, cartuchos para juegos"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Juguetes a cuerda, fricción, eléctricos, a pila"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Muñecas, muñecos"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Juegos para armar"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Juguetes para bebé (sonajero, móviles)"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Bicicleta infantil, triciclo, monopatín y otros rodados"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Disfraces, máscaras, cotillón, chascos (no incluir alquiler de disfraces)"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Juegos pirotécnicos"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Arbol de Navidad y adornos"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Artículos recreativos no duraderos, otros"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Juguetes"	"Juguetes"
"Pelotas,redes,raquetas y otros equipos para deportes"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Tobillera, rodillera, muñequera, guantes"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Colchonetas, pesas y otros artículos para gimnasio"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Cañas de pescar, y otros artículos de pesca"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Armas de fuego para deporte y protección, incluye municiones"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Gas paralizante"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Equipo para juegos de playa, bolos, croquet, tejo"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Botes, balsas y piscinas inflables,chalecos salvavidas, juegos inflables"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Carpas,sacos de dormir,mochilas,colchones inflables, infladores"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Equipo de deporte, campamento y recreación al aire libre"	"Equipo de deporte, campamento y recreación al aire libre"
"Plantas (jardín e interior), flores, ramo de flores"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Plantas y flores"	"Plantas y flores"
"Semillas para plantar"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Plantas y flores"	"Plantas y flores"
"Herbicidas"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Plantas y flores"	"Plantas y flores"
"Tierra , abono,turba y fertilizantes"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Plantas y flores"	"Plantas y flores"
"Macetas y portamacetas"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Plantas y flores"	"Plantas y flores"
"Flores y plantas artificiales"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Plantas y flores"	"Plantas y flores"
"Animales domésticos"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Animales domésticos y productos conexos"	"Animales domésticos y productos conexos"
"Alimentos para animales domésticos"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Animales domésticos y productos conexos"	"Animales domésticos y productos conexos"
"Casa de perro,cucha,pecera,jaula"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Animales domésticos y productos conexos"	"Animales domésticos y productos conexos"
"Productos veterinarios"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Animales domésticos y productos conexos"	"Animales domésticos y productos conexos"
"Collares, traillas, huesos de goma"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Animales domésticos y productos conexos"	"Animales domésticos y productos conexos"
"Patentes de perro"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Animales domésticos y productos conexos"	"Animales domésticos y productos conexos"
"Servicio  de paseo y cuidados de animales domésticos"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Servicios para animales domésticos"	"Servicios para animales domésticos"
"Veterinario,pago por consulta de"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Servicios para animales domésticos"	"Servicios para animales domésticos"
"Veterinaria cuota"	"RECREACION Y CULTURA"	"Otros artículos y equipos para la recreación"	"Servicios para animales domésticos"	"Servicios para animales domésticos"
"Entradas a partidos de fútbol"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios de recreación y deportivos"	"Servicios de recreación y deportivos"
"Entradas a otros espectáculos deportivos"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios de recreación y deportivos"	"Servicios de recreación y deportivos"
"Club deportivo, gimnasio cuota"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios de recreación y deportivos"	"Servicios de recreación y deportivos"
"Alquiler de canchas y equipamiento deportivo"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios de recreación y deportivos"	"Servicios de recreación y deportivos"
"Cibercafé"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios de recreación y deportivos"	"Servicios de recreación y deportivos"
"Gastos en esparcimiento, otros ( ferias,parque de diversiones,aerosillas.etc.)"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios de recreación y deportivos"	"Servicios de recreación y deportivos"
"Competencias y Examenes Internacionales(Taekondo y otras artes marciales)"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios de recreación y deportivos"	"Servicios de recreación y deportivos"
"Boliches, recitales, cabaret  entrada"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Asociaciones culturales, cuota"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Suscripción a cine,teatro"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Entradas cine,teatro,conciertos,ópera."	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Otros espectáculos de sonido, imagen y luces"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Museo,bibliotecas,galerías de arte, entrada"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Alquiler videocasette"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Fichas de maquinitas, alquiler de videogame"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Alquiler de aparato de video, videogame"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"TV cable, antena parabólica (cuota por servicio)"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Revelado de fotos, rollos, foto carné"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Fotógrafo profesional, filmación en video, servicios"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Contratación de músicos, payasos, animadores, disckjockey, para fiestas."	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Contratación de otros servicios para fiestas"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Servicios culturales"	"Servicios culturales"
"Lotería"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Juegos de azar"	"Juegos de azar"
"Quiniela"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Juegos de azar"	"Juegos de azar"
"5 de oro"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Juegos de azar"	"Juegos de azar"
"Tómbola"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Juegos de azar"	"Juegos de azar"
"Pago de rifas"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Juegos de azar"	"Juegos de azar"
"Casino,maquinitas, slots"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Juegos de azar"	"Juegos de azar"
"Otros juegos de azar"	"RECREACION Y CULTURA"	"Servicios de recreación y culturales"	"Juegos de azar"	"Juegos de azar"
"Libros infantiles"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Libros"	"Libros"
"Diccionarios,enciclopedias,atlas"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Libros"	"Libros"
"Novelas, ensayos, cuentos"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Libros"	"Libros"
"Albumes, sobre de figuritas"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Libros"	"Libros"
"Libros de enseñanza"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Libros"	"Libros"
"Textos universitarios y de formación profesional"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Libros"	"Libros"
"Diarios"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Diarios y periódicos"	"Diarios, semanarios, periódicos"
"Diario oficial"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Diarios y periódicos"	"Diarios, semanarios, periódicos"
"Semanarios"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Diarios y periódicos"	"Diarios, semanarios, periódicos"
"Suscripción a periódicos,semanarios"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Diarios y periódicos"	"Diarios, semanarios, periódicos"
"Fascículos, revistas"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Diarios y periódicos"	"Revistas"
"Suscripción a revistas"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Diarios y periódicos"	"Revistas"
"Tarjetas ,postales,calendarios"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Materiales impresos diversos"	"Materiales impresos diversos"
"Impresos, otros (guías turísticas,mapas y planos carreteros, material de publicidad)"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Materiales impresos diversos"	"Materiales impresos diversos"
"Lápices, lapiceras,minas y portaminas"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Temperas, tinta, acuarelas, pasteles, pinceles, lápices de colores"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Cartucheras, portalápices"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Compases, reglas, escuadras,semicírculo"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Arcilla, plasticina, masa para moldear, cerámica, paquete"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Adhesivo escolar,tijeras para papel,grapadoras y caja de grapas"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Goma de borrar,sacapunta,corrector líquido"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Cuadernos,cuadernolas"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Hojas para impresora"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Pago por materiales escolares (cuota pagada al jardín, escuela o colegio)"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Artículos de papelería y útiles de oficina,otros"	"RECREACION Y CULTURA"	"Periódicos, libros, útiles de oficina"	"Papel, útiles de oficina, materiales de dibujo"	"Papel, útiles de oficina, materiales de dibujo"
"Excursiones"	"RECREACION Y CULTURA"	"Paquetes turísticos"	"Paquetes turísticos"	"Paquetes turísticos"
"Paquetes turísticos al interior del país"	"RECREACION Y CULTURA"	"Paquetes turísticos"	"Paquetes turísticos"	"Paquetes turísticos"
"Paquetes turísticos al exterior"	"RECREACION Y CULTURA"	"Paquetes turísticos"	"Paquetes turísticos"	"Paquetes turísticos"
"Esparcimiento en viajes"	"RECREACION Y CULTURA"	"Paquetes turísticos"	"Paquetes turísticos"	"Paquetes turísticos"
"Alimentos y bebidas en viajes"	"RECREACION Y CULTURA"	"Paquetes turísticos"	"Paquetes turísticos"	"Paquetes turísticos"
"Enseñanza preescolar matrícula"	"EDUCACION"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"
"Enseñanza preescolar cuota mensual"	"EDUCACION"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"
"Enseñanza primaria,matrícula"	"EDUCACION"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"
"Enseñanza primaria,cuota mensual"	"EDUCACION"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"	"Enseñanza preescolar y primaria"
"Enseñanza secundaria,matrícula"	"EDUCACION"	"Enseñanza secundaria"	"Enseñanza secundaria"	"Enseñanza secundaria"
"Enseñanza secundaria,cuota mensual"	"EDUCACION"	"Enseñanza secundaria"	"Enseñanza secundaria"	"Enseñanza secundaria"
"Enseñanza técnica,matrícula"	"EDUCACION"	"Enseñanza secundaria"	"Enseñanza secundaria"	"Enseñanza secundaria"
"Enseñanza técnica cuota mensual"	"EDUCACION"	"Enseñanza secundaria"	"Enseñanza secundaria"	"Enseñanza secundaria"
"Enseñanza terciaria, universitaria matrícula"	"EDUCACION"	"Enseñanza terciaria"	"Enseñanza terciaria"	"Enseñanza terciaria"
"Enseñanza terciaria, universitaria cuota mensual"	"EDUCACION"	"Enseñanza terciaria"	"Enseñanza terciaria"	"Enseñanza terciaria"
"Enseñanza, cursos de actualización nivel terciario"	"EDUCACION"	"Enseñanza terciaria"	"Enseñanza terciaria"	"Enseñanza terciaria"
"Enseñanza, maestrías ,doctorados"	"EDUCACION"	"Enseñanza terciaria"	"Enseñanza terciaria"	"Enseñanza terciaria"
"Enseñanza, pago por derecho a exámenes.(no  internacionales)"	"EDUCACION"	"Enseñanza terciaria"	"Enseñanza terciaria"	"Enseñanza terciaria"
"Enseñanza post -secundaria no terciaria:Formación docente"	"EDUCACION"	"Enseñanza no atribuíble a ningún nivel"	"Enseñanza no atribuíble a ningún nivel"	"Enseñanza no atribuíble a ningún nivel"
"Cursos de música ,canto,baile, artes plásticas"	"EDUCACION"	"Enseñanza no atribuíble a ningún nivel"	"Enseñanza no atribuíble a ningún nivel"	"Enseñanza no atribuíble a ningún nivel"
"Cursos de educación no formal:cocina.corte,peluquería,artesanías, otros"	"EDUCACION"	"Enseñanza no atribuíble a ningún nivel"	"Enseñanza no atribuíble a ningún nivel"	"Enseñanza no atribuíble a ningún nivel"
"Enseñanza extracurricular: cursos de computación, otros"	"EDUCACION"	"Enseñanza extracurricular"	"Enseñanza extracurricular"	"Enseñanza extracurricular"
"Enseñanza extracurricular: idiomas,matrícula cursos de"	"EDUCACION"	"Enseñanza extracurricular"	"Enseñanza extracurricular"	"Enseñanza extracurricular"
"Enseñanza extracurricular: idiomas, cuota mensual curso de"	"EDUCACION"	"Enseñanza extracurricular"	"Enseñanza extracurricular"	"Enseñanza extracurricular"
"Enseñanza extracurricular: idiomas, exámenes internacionales, matrículas"	"EDUCACION"	"Enseñanza extracurricular"	"Enseñanza extracurricular"	"Enseñanza extracurricular"
"Enseñanza extracurricular: curso de enseñanza comercial, taquigrafía, dactilografía"	"EDUCACION"	"Enseñanza extracurricular"	"Enseñanza extracurricular"	"Enseñanza extracurricular"
"Enseñanza extracurricular:clases particulares, de apoyo y preparación de exámenes"	"EDUCACION"	"Enseñanza extracurricular"	"Enseñanza extracurricular"	"Enseñanza extracurricular"
"Sandwiches de jamón y queso (pan blanco o negro)2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Sandwiches olímpicos"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Medias lunas y tortugas rellenas2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Sandwiches calientes2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Leche sola2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Leche con productos panificados2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Café con o sin leche, cortado, capuchino2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Café con o sin leche con productos panificados2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Te con o sin leche"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Te con o sin leche con productos panificados2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Chivito al pan"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Chivito canadiense al pan"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Chivito canadiense al plato"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Chivito  al plato"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Milanesa de carne roja, sola2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Milanesa al pan"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Milanesa al plato con guarnición2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Milanesa en dos panes"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Milanesa napolitana o rellena con guarnición"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Chorizo al pan2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Frankfurter al pan2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Húngara al pan"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Hamburguesa de carne roja al pan2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Hamburguesa de pollo rebozada al pan"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Milanesa de pollo con o sin queso"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Patitas de pollo fritas, nuggets"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Arrollado de pollo2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Tarta de verdura ,entera"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Tarta de verdura, porción2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Tartas saladas de carne o pescado,entera2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Tartas saladas de carne o pescado, porción2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Tarta de jamón y queso entera"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Tarta de jamón y queso, porción2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Burrito, Lehmenyún, arrollado primavera2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
"Empanadas todo tipo2"	"RESTAURANTES Y SERVICIOS DE ALOJAMIENTO"	"Servicios de suministro de comidas por contrato"	"Restaurantes, cafés y establecimientos similares"	"Restaurantes, cafés y establecimientos similares"
