"","unidad","udad_anio","year","loc","sexo","edad","educ","nombre","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso","grupos_agnes_single_5","grupos_agnes_single_13","grupos_agnes_complete_10","grupos_agnes_complete_17","grupos_agnes_complete_3","grupos_agnes_complete_8","grupos_agnes_average_3","grupos_agnes_average_7","grupos_agnes_average_13","grupos_agnes_ward_3","grupos_agnes_ward_4","grupos_agnes_ward_5","grupos_agnes_sing_cl_10","grupos_agnes_mcl_9","grupos_agnes_mal_10"
"33","u18","MM331995",1995,"M","M","3","3","MM33",41.95,4.49,28.63,32.55,22.75,26.27,42.75,2.75,19.22,62.35,14.51,1.96,7.45,6.27,8.24,3.14,3.92,0.78,5.4,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"34","u31","IM211995",1995,"I","M","2","1","IM21",16.6,10.72,39.49,28.75,10.39,60.51,7.04,4.73,22.29,1.73,3.46,17.21,17.55,21.94,0.69,43.65,9.01,38.34,1.23,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"35","u24","IH231995",1995,"I","H","2","3","IH23",84.39,2.11,34.91,9.05,43.1,31.47,31.03,5.17,18.1,49.57,13.36,6.03,10.34,10.34,12.5,3.02,3.45,1.72,4.86,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"36","u33","IM231995",1995,"I","M","2","3","IM23",10.73,0.98,19.7,39.41,27.34,17.98,63.05,1.72,11.82,75.12,11.82,1.48,1.97,8.13,6.9,0.74,6.65,1.23,4.29,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"37","u1","MH111996",1996,"M","H","1","1","MH11",32.5,13.57,43.8,9.09,7.44,59.09,9.09,19.83,9.92,0.83,4.96,60.33,22.31,26.03,1.24,7.44,9.5,28.93,2.15,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"38","u15","MM231996",1996,"M","M","2","3","MM23",22.33,3.59,21.2,31.85,34.44,37.33,41.78,2.17,13.34,65.56,19.23,1.65,4.86,8.89,14.37,1.96,11.17,1.34,5.26,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"39","u5","MH221996",1996,"M","H","2","2","MH22",77.73,4.94,33.35,8.54,14.31,51.41,16.85,8.37,13.73,4.56,15.75,34.39,21.29,21.64,7.91,7.39,6.64,7.5,3.98,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"40","u21","IH131996",1996,"I","H","1","3","IH13",17,20,36.25,25,18.75,41.25,28.75,5,18.75,43.75,13.75,7.5,7.5,20,15,2.5,8.75,10,3.18,"1","5","4","5","2","3","3","4","5","2","2","2","4","4","5"
"41","u7","MH311996",1996,"M","H","3","1","MH31",92.55,6.63,46.45,20.87,6.01,45.36,14.21,14.97,17.38,1.09,7.21,38.47,17.27,22.73,4.26,10.49,5.79,8.31,3.26,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","u32","IM221996",1996,"I","M","2","2","IM22",13.68,8.63,50.68,30.02,7.29,47.64,22.18,3.52,19.38,10.25,25.54,12.73,15.53,25.3,4.48,19.38,6.73,20.02,2.02,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
