"." 	"history" 	"Freq" 	"Rcuad" 	"psF" 	"psT"
"54" 	31 	24 	4 	0.982670858639836 	61.2427647321708 	2.51956866107642
"55" 	-9 	-79 	2 	0.981888096461937 	60.850550006018 	NA
"56" 	19 	25 	6 	0.981061704287873 	60.4369055026928 	4.56380566983627
"57" 	35 	-92 	3 	0.980217194279663 	60.0912762795976 	2.24926137955769
"58" 	41 	-87 	3 	0.979370046730295 	59.8575221603213 	1.82352272327693
"59" 	55 	-13 	3 	0.978501841358004 	59.6760242498626 	1.10915600779418
"60" 	36 	44 	4 	0.977614032802318 	59.5511479561397 	1.99401935684146
"61" 	15 	42 	5 	0.976725609702274 	59.5327084881291 	3.27224268156284
"62" 	12 	54 	6 	0.975828915332538 	59.5963884543561 	2.49517467321478
"63" 	51 	-83 	3 	0.974894691745204 	59.6690110864472 	1.46712607212031
"64" 	-12 	53 	4 	0.973912386088118 	59.7317877750122 	1.93578415997648
"65" 	23 	-57 	4 	0.972921149786834 	59.8819830561462 	5.86582947744169
"66" 	22 	63 	5 	0.971749479566331 	59.7431617531141 	1.93699402462089
"67" 	40 	33 	8 	0.970524126822572 	59.6228505403133 	5.71120214946617
"68" 	21 	56 	11 	0.969264175662676 	59.5667229131066 	5.51438500574796
"69" 	57 	49 	5 	0.967989254471443 	59.6150336891856 	2.10255661906554
"70" 	-1 	-22 	2 	0.966674600938614 	59.7205875923996 	NA
"71" 	50 	46 	5 	0.965278970298892 	59.8142494020193 	2.8984813956913
"72" 	64 	18 	6 	0.963823473485397 	59.9450258019322 	2.63598901610753
"73" 	43 	61 	9 	0.962315081467803 	60.1327239917118 	3.86783642695486
"74" 	59 	39 	5 	0.960668540220346 	60.2481850191253 	2.3721540304723
"75" 	-45 	-86 	2 	0.958947429562623 	60.4112344085385 	NA
"76" 	34 	52 	4 	0.957188573224503 	60.6866779704667 	3.39498497667951
"77" 	-7 	32 	3 	0.955379701049914 	61.0619254861716 	5.4863835110196
"78" 	38 	-38 	3 	0.953546456981034 	61.5806499361131 	4.29766480991459
"79" 	-8 	58 	4 	0.951673771778215 	62.2289226673702 	2.85532539545128
"80" 	62 	16 	11 	0.949603416262651 	62.8087161100499 	6.52178755353919
"81" 	45 	76 	6 	0.947218146800018 	63.2007974408279 	2.90655913716028
