"jefe"	 "desemp"	 "size"	 "tparcial"	 "multiemp"	 "privado"	 "publico"	 "cpsl"	 "cpcl"	 "profytec"	 "oficina"	 "manual"	 "indust"	 "comercio"	 "sfinan"	 "sperson"	 "subemp"	 "precario"	 "ingreso"	 "Comp.1"	 "Comp.2"	 "norma"	 "Cos 1"	 "Cos 2"
23,9	 22,33	 46,56	 46,96	 4,05	 53,04	 17,41	 9,31	 15,38	 19,03	 5,26	 43,72	 15,79	 24,7	 0,81	 2,83	 10,12	 49,8	 1,76	 -28,749000944345	 -5,34215955019513	 2077,23011723457	 0,397888057004624	 0,411626866404198
71,97	 12,6	 48,83	 36,4	 6,67	 51,17	 12,61	 21,8	 12,25	 1,08	 2,34	 54,05	 16,58	 20,72	 0,36	 1,8	 16,76	 41,08	 1,87	 5,0612742665394	 -45,3489612117709	 2977,79184612346	 0,00860251438813026	 0,699224421243013
44,73	 6,46	 36,55	 33,45	 20,36	 37,82	 29,09	 6,55	 19,82	 55,64	 14,91	 6,18	 9,82	 7,64	 1,27	 26	 17,82	 12	 4,48	 23,0950000065808	 38,256932790645	 2812,2897955679	 0,189660050733235	 0,710087536141928
24,6	 20,24	 53,23	 57,71	 5,47	 58,71	 6,97	 25,87	 7,46	 2,49	 1	 43,28	 16,92	 26,37	 0	 0,5	 21,89	 50,25	 1,37	 -41,2996094656203	 -19,1574939903423	 3729,66966390123	 0,457321397259787	 0,555724100196783
91,07	 5,84	 51,09	 25,55	 13,14	 30,29	 24,09	 13,14	 25,55	 22,99	 11,68	 50	 20,8	 17,15	 0,73	 6,57	 14,23	 24,45	 3,05	 44,222242653457	 -32,6385022842764	 3938,11914723457	 0,496583945834777	 0,767086637991455
42,26	 13,57	 46,88	 34,61	 8,65	 45,47	 20,72	 6,04	 18,11	 13,68	 28,37	 12,07	 15,49	 15,9	 2,62	 14,69	 16,5	 21,33	 2,74	 -0,786375370634657	 7,02000032891926	 580,482877234568	 0,00106529623489809	 0,085960831574027
25,71	 23,44	 68,4	 67,41	 9,88	 72,1	 4,94	 7,41	 10,62	 0,49	 5,43	 12,59	 14,81	 17,04	 0,25	 7,65	 29,14	 59,01	 1,79	 -58,212991399107	 -7,99300778877989	 5083,4246855679	 0,666627830103068	 0,679195769526441
77,99	 5,39	 44,22	 19,11	 14,02	 39,45	 22,8	 10,48	 19,57	 24,04	 6,78	 44,38	 14,64	 20,49	 2	 6,78	 9,71	 31,59	 2,56	 32,2499436888328	 -25,4704171576723	 2159,97272723457	 0,481514814895132	 0,781862195214344
44,18	 10,69	 76,96	 43,21	 8,75	 59,11	 6,43	 11,79	 17,32	 1,43	 5,36	 15	 16,96	 13,93	 0,89	 9,11	 25,54	 45,18	 1,94	 -27,3396674940144	 -20,7787577570932	 2603,87093223457	 0,287056247462243	 0,452869678759101
27,71	 10,4	 26,89	 41,97	 24,84	 45,58	 32,98	 3,89	 14,3	 53,15	 26,54	 2,97	 7,08	 9,55	 5,59	 21,02	 18,05	 17,34	 4,34	 7,02442705372292	 53,0704189975604	 3263,74845834568	 0,0151183757151693	 0,878073780680485
