"unidad"	"nombre"	"AÑO"	"JEFE"	"DESEMP"	"udad_anio"	"TAMAÑO"	"TPARCIAL"	"MULTIEMP"	"PRIVADO"	"PÚBLICO"	"CPSL"	"CPCL"	"PROFYTEC"	"OFICINA"	"MANUAL"	"INDUST"	"COMERCIO"	"SFINAN"	"SPERSON"	"SUBEMP"	"PRECARIO"	"INGRESO"
"103"	"u24"	"IH23"	1997	82.24	2.8	"IH231997"	34.13	11.06	29.33	36.06	25.48	5.29	17.79	52.4	10.1	6.73	8.65	12.98	17.31	1.92	1.44	5.77	4.91
"104"	"u18"	"MM33"	1997	47.28	3.06	"MM331997"	27.37	43.51	18.95	30.53	38.95	3.51	17.19	60	18.25	2.46	6.32	8.42	7.37	4.91	3.51	0.35	5.56
"105"	"u28"	"IM11"	1997	6.47	29.85	"IM111997"	63.83	34.75	4.96	80.85	4.26	3.55	7.8	2.13	3.55	17.02	12.77	23.4	1.42	49.65	8.51	87.23	1.12
"106"	"u22"	"IH21"	1997	77.71	5.2	"IH211997"	41.54	9.72	4.3	47.18	21.29	15.36	13.35	0.89	3.19	51.63	16.39	13.35	1.04	8.46	6.38	19.96	2.06
"107"	"u23"	"IH22"	1997	77.61	4.31	"IH221997"	38.41	9.19	11.24	39.9	26.54	8.62	18.26	4.62	11.99	40.13	18.95	17.35	4.57	6.74	5.54	9.47	2.72
"108"	"u29"	"IM12"	1997	3.95	19.83	"IM121997"	48.83	26.3	4.53	76.68	9.84	2.07	8.68	7.25	22.02	9.97	11.92	29.66	7.51	25.78	10.49	41.06	1.49
"109"	"u7"	"MH31"	1998	86.3	4.65	"MH311998"	49.79	16.88	4.32	42.96	12.83	17.02	17.57	1.67	6.97	39.61	18.27	21.06	3.63	14.64	4.6	7.11	3.2
"110"	"u30"	"IM13"	1998	5.29	20.26	"IM131998"	26.52	33.15	11.05	44.2	40.33	3.31	11.05	54.14	24.31	0.55	3.87	13.26	13.81	4.42	12.71	11.6	2.75
"111"	"u29"	"IM12"	1998	6.42	20.45	"IM121998"	48.86	18.44	5.79	78.73	5.79	3.1	8.34	7.13	22.88	9.83	14.4	31.22	4.85	28.94	10.36	44.41	1.45
"112"	"u35"	"IM32"	1998	35.81	8.45	"IM321998"	58.3	30.63	9.96	39.11	18.82	4.06	27.68	11.81	20.3	13.65	15.87	21.77	3.69	19.56	4.8	15.87	2.11
"113"	"u17"	"MM32"	1998	41.65	6.64	"MM321998"	52.21	34.56	8.82	48.28	15.69	5.88	21.57	12.5	22.06	14.46	18.38	15.69	6.86	25.74	5.39	6.13	3.08
"114"	"u21"	"IH13"	1998	25	6	"IH131998"	31.91	6.38	14.89	64.89	14.89	4.26	11.7	27.66	25.53	11.7	12.77	21.28	11.7	5.32	10.64	13.83	3.19
"115"	"u33"	"IM23"	1998	16.81	1.72	"IM231998"	18.86	35.09	28.73	27.41	51.75	1.54	12.06	73.9	11.62	1.97	3.07	6.14	7.02	2.19	5.48	0.88	4.73
"116"	"u6"	"MH23"	1998	76.59	1.79	"MH231998"	28.31	5.96	34.6	45.03	21.69	3.15	16.56	48.68	13.08	7.12	12.42	14.4	23.01	1.49	5.13	2.81	7.64
"117"	"u36"	"IM33"	1998	41.38	2.59	"IM331998"	34.51	39.82	20.35	23.01	44.25	1.77	22.12	68.14	7.08	2.65	5.31	14.16	5.31	0.88	5.31	0.88	4.04
"118"	"u9"	"MH33"	1998	93.53	0.72	"MH331998"	27.54	15.58	29.35	35.51	23.19	3.99	17.75	46.74	8.33	2.9	10.87	11.96	21.38	1.81	5.07	1.09	10.67
"119"	"u12"	"MM13"	1998	13.14	15.49	"MM131998"	15.31	30.63	12.76	69.61	21.81	1.39	5.57	37.12	38.28	2.78	9.05	17.17	20.19	3.71	12.76	6.5	3.61
"120"	"u31"	"IM21"	1998	19.83	12.89	"IM211998"	70.7	28.59	9.53	69.42	6.83	2.56	17.64	2.13	2.42	11.81	13.09	21.34	0.14	47.94	10.38	45.52	1.51
"121"	"u34"	"IM31"	1998	38.75	7.03	"IM311998"	74.45	36.47	9.24	54.45	8.57	5.21	25.38	2.35	5.55	14.12	13.95	23.03	1.51	42.52	5.21	32.61	1.44
"122"	"u23"	"IH22"	1998	78.96	3.6	"IH221998"	36.19	5.29	11.08	42.98	25.11	7.74	17.26	4.12	13.08	39.59	17.59	19.49	5.07	6.74	4.73	9.13	3.09
"123"	"u15"	"MM23"	1998	25.78	3.92	"MM231998"	21.94	20.89	31.39	42.59	36.64	1.52	14.35	67.21	18.2	1.63	4.9	8.17	17.85	1.75	6.88	1.87	5.6
"124"	"u19"	"IH11"	1998	36.67	9.78	"IH111998"	36.95	4.93	4.19	67.49	11.08	14.29	6.65	0	1.72	62.07	18.97	14.29	0.74	7.88	8.62	43.35	1.65
"125"	"u11"	"MM12"	1998	7.34	18.51	"MM121998"	33.03	17.75	4.7	81.07	7.05	2.48	6.53	6.66	30.94	13.32	18.54	31.2	7.31	19.58	8.88	27.55	2.14
"126"	"u25"	"IH31"	1998	91.35	5.47	"IH311998"	51.17	13.82	3.36	40.15	16.9	18.11	19.14	0.75	3.64	43.14	14.75	15.41	1.68	10.55	3.64	12.89	2.27
"127"	"u20"	"IH12"	1998	28.46	10.65	"IH121998"	35.3	5.37	5.28	70.61	10.28	8.83	7.92	3.64	11.01	47.68	20.56	24.02	3.46	8.92	7.73	29.85	2.01
"128"	"u14"	"MM22"	1998	20.86	11.37	"MM221998"	38.47	21.67	8.69	58.93	17.13	3.9	13.8	8.6	30.68	13.88	19.24	22	7.06	18.51	8.12	13.47	3
"129"	"u18"	"MM33"	1998	46.64	3.53	"MM331998"	28.94	38.83	22.34	29.3	37.36	3.66	17.95	69.6	14.29	2.2	5.13	8.42	11.36	2.2	6.23	1.83	5.82
"130"	"u8"	"MH32"	1998	89.14	3.76	"MH321998"	37.48	10.85	9.12	38.78	19.54	8.25	16.35	5.07	16.79	28.36	20.98	19.83	9.41	7.53	5.35	2.6	4.97
"131"	"u32"	"IM22"	1998	19.24	9.22	"IM221998"	48.17	21.27	10.16	52.94	19.21	3.02	18.89	8.89	22.3	13.25	14.68	24.05	4.05	21.51	8.25	19.37	2.1
"132"	"u4"	"MH21"	1998	80.76	4.85	"MH211998"	40.74	5.25	7.25	54.01	13.43	15.59	14.35	0.62	3.55	56.94	20.68	18.21	2.47	7.41	8.8	16.36	2.77
"133"	"u28"	"IM11"	1998	7.73	22.27	"IM111998"	69.01	25.73	5.26	79.53	3.51	2.92	10.53	1.17	4.68	12.87	11.7	21.05	1.17	50.29	14.04	67.84	1.09
"134"	"u3"	"MH13"	1998	26.65	13.77	"MH131998"	21.18	19.1	11.11	65.63	15.28	4.86	9.72	30.21	32.29	10.07	13.19	22.92	21.53	3.13	6.6	2.78	4.12
