"." 	"history" 	"Freq" 	"Rcuad" 	"psF" 	"psT"
"28" 	-228 	-354 	2 	0.994395669529417 	15.0094758188791 	NA
"29" 	-258 	-322 	2 	0.994384058515246 	15.5602165701938 	NA
"30" 	-251 	-262 	2 	0.994363386765819 	16.0861548729021 	NA
"31" 	-33 	-184 	2 	0.994277186215521 	16.4204747817885 	NA
"32" 	-15 	-128 	2 	0.994216544241719 	16.8227036211552 	NA
"33" 	-224 	-352 	2 	0.99420861714891 	17.3776716505207 	NA
"34" 	-64 	-79 	2 	0.994189939435035 	17.9012872123756 	NA
"35" 	-131 	-214 	2 	0.994149075345145 	18.3548162663338 	NA
"36" 	-42 	-207 	2 	0.992928289902773 	15.6492458857094 	NA
"37" 	-84 	-109 	2 	0.992907133926382 	16.085431804509 	NA
"38" 	-65 	-141 	2 	0.992636224752616 	15.9576214896635 	NA
"39" 	-120 	-332 	2 	0.991177328172339 	13.69196760694 	NA
"40" 	-223 	-316 	2 	0.991107482553474 	13.975435085453 	NA
"41" 	-264 	-344 	2 	0.988926712717832 	11.5144786167035 	NA
"42" 	-67 	-144 	2 	0.987966626422082 	10.8778960129869 	NA
"43" 	-314 	-315 	2 	0.986080111535036 	9.63957345397292 	NA
"44" 	-32 	-127 	2 	0.986030217755188 	9.85922347293028 	NA
"45" 	12 	-294 	3 	0.985489525937821 	9.73314688190465 	0.37823723421553
"46" 	-41 	-175 	2 	0.985458515560538 	9.95962755129657 	NA
"47" 	-242 	-270 	2 	0.984866740907855 	9.80366060388817 	NA
"48" 	-236 	-355 	2 	0.984305354168782 	9.6796393424926 	NA
"49" 	-121 	-193 	2 	0.984266686108126 	9.88842138095034 	NA
"50" 	-349 	-351 	2 	0.983702718008615 	9.76697814843675 	NA
"51" 	-130 	-161 	2 	0.983576857505801 	9.91679876065048 	NA
"52" 	-10 	-30 	2 	0.983434705031566 	10.0556772337345 	NA
"53" 	-160 	18 	3 	0.983378001294582 	10.2468808815141 	0.337120136895806
"54" 	-269 	-297 	2 	0.983366542572635 	10.467110706515 	NA
"55" 	6 	-253 	3 	0.983259555136028 	10.6265009783654 	0.342475064176571
"56" 	-218 	-275 	2 	0.983210784348317 	10.8233480509138 	NA
"57" 	-76 	-179 	2 	0.982576728027413 	10.6439952147708 	NA
"58" 	10 	-138 	4 	0.982451311197058 	10.7876751994002 	1.09023040229552
"59" 	-85 	-174 	2 	0.982224205708111 	10.8670677261423 	NA
"60" 	-259 	-359 	2 	0.982049064941412 	10.978074476441 	NA
"61" 	-1 	-140 	2 	0.982024222218066 	11.1827362073915 	NA
"62" 	17 	-153 	3 	0.981833636517895 	11.282494931991 	0.625513732981945
"63" 	-29 	-180 	2 	0.981783377330897 	11.470877728101 	NA
"64" 	-71 	-86 	2 	0.981634570874679 	11.595960366858 	NA
"65" 	-63 	-147 	2 	0.981605046433345 	11.797883755723 	NA
"66" 	-230 	-358 	2 	0.981593183071974 	12.0123825922458 	NA
"67" 	-273 	-292 	2 	0.980135972030441 	11.3216822441576 	NA
"68" 	-116 	-169 	2 	0.980026356912989 	11.4655896489289 	NA
"69" 	-243 	-271 	2 	0.979981320255255 	11.6475198302388 	NA
"70" 	-168 	-206 	2 	0.979486928147819 	11.5655992659288 	NA
"71" 	-185 	-213 	2 	0.979333471852101 	11.6823156164058 	NA
"72" 	-108 	-150 	2 	0.979315971649818 	11.8778630277483 	NA
"73" 	-244 	-326 	2 	0.979297615220369 	12.0739993372471 	NA
"74" 	44 	-102 	3 	0.979260820721152 	12.2600904153837 	0.737456639480804
"75" 	-19 	-83 	2 	0.979198454737068 	12.4313428616566 	NA
"76" 	-16 	-139 	2 	0.979182199425906 	12.6315260693665 	NA
"77" 	25 	-98 	3 	0.979063048801103 	12.7684692842835 	0.405720065623111
"78" 	-73 	-177 	2 	0.979015585792071 	12.9503360585737 	NA
"79" 	-53 	-113 	2 	0.978944732849261 	13.1179653021569 	NA
"80" 	-222 	67 	3 	0.978584542347213 	13.1025786506714 	0.247177993977071
"81" 	11 	-202 	3 	0.978451024716486 	13.2297821338571 	5.43662996747028
"82" 	-276 	-345 	2 	0.97830036626511 	13.3460852894962 	NA
"83" 	19 	-164 	3 	0.978080313770534 	13.4186614216367 	0.372885321696654
"84" 	-132 	-192 	2 	0.977974257161581 	13.5626155439566 	NA
