id;gen;plan;cred1;cred1y2;cred1.2y3;cred1234;nac_lug;otros_univ;ocup_rel;sit_labNT;horas;sexto;edad;edad_t;Xfem;Xhijos;Xocup;XeduP;XeduM;XocuP;XocuM;tratamiento;inst;EDA;MC.EDA;carr04;carr11;carr12;carr14;fecing4;fecing11;fecing12;fecing14;fecingEDA;julio;EDAoMCEDA;Xnac_lug;Xhoras;XeduM_num;XeduP_num;Xedu_H;Xsexto;cred1_prop;cred1_2012;cred1y2_prop;cred1y2_2012;cred1.2y3_prop;cred1.2y3_2012;cred1234_prop;cred1234_2012
180;2012;3. Plan 12   ;50;50;60;60;Montevideo;No posee;No corresponde;Trabajó y no busca trabajo;No corresponde;Montevideo Privada;21;t20.22;0;0;0;1;2;Asalariado;Asalariado;1;45;0;0;0;1;1;0;NA;9/2/2012;9/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Privada;0.555555555555556;50;0.277777777777778;50;0.222222222222222;60;0.166666666666667;60
182;2013;3. Plan 12   ;10;40;80;80;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Privada;19;t17.19;0;0;0;2;2;Asalariado;No trabaja;1;222;0;0;0;1;1;0;NA;22/2/2013;22/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Interior Privada;0.111111111111111;10;0.222222222222222;40;0.296296296296296;80;0.222222222222222;80
183;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;19;t17.19;1;0;0;1;2;Asalariado;Asalariado;1;79;0;0;0;0;1;0;NA;NA;15/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Publica;0;0;0;0;0;0;0;0
184;2012;3. Plan 12   ;90;150;240;340;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;1;3;Dirección;Asalariado;1;204;0;0;0;0;1;1;NA;NA;9/2/2012;19/1/2015;NA;0;0;Montevideo;No trabaja;3;1;3;Montevideo Privada;1;90;0.833333333333333;150;0.888888888888889;240;0.944444444444444;340
185;2013;3. Plan 12   ;70;110;160;190;Montevideo;Si posee;No corresponde;No trabajó y no busca trabajo;No corresponde;UTU Montevideo;21;t20.22;0;0;0;1;3;Asalariado;Asalariado;1;194;0;0;0;0;1;0;NA;NA;13/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;1;3;Montevideo Publica;0.777777777777778;70;0.611111111111111;110;0.592592592592593;160;0.527777777777778;190
186;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;20;t20.22;0;0;0;NA;2;Sin dato;Asalariado;1;220;0;0;0;0;1;0;NA;NA;17/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;NA;2;Montevideo Privada;0;0;0;0;0;0;0;0
187;2013;3. Plan 12   ;0;0;0;0;Montevideo;No posee;Está poco relacionada;No corresponde;Trabaja más de 40 hrs semanales;Montevideo Publica;28;t27.30;0;1;1;2;1;Asalariado;Asalariado;1;78;0;0;0;0;1;0;NA;NA;6/3/2013;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;1;2;2;Montevideo Publica;0;0;0;0;0;0;0;0
189;2012;3. Plan 12   ;40;40;40;40;Montevideo;No posee;No está relacionada;No corresponde;Trabaja de 10 a 20 hrs semanales;Montevideo Privada;18;t17.19;1;0;1;2;2;Dirección;Dirección;1;16;0;0;0;0;1;0;NA;NA;7/2/2012;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;2;2;2;Montevideo Privada;0.444444444444444;40;0.222222222222222;40;0.148148148148148;40;0.111111111111111;40
193;2013;3. Plan 12   ;100;190;280;350;Salto;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;1;0;0;2;3;Asalariado;Asalariado;1;48;0;0;0;1;1;0;NA;22/2/2013;22/2/2013;NA;NA;0;0;Interior;No trabaja;3;2;3;Montevideo Privada;111.111.111.111.111;100;105.555.555.555.556;190;103.703.703.703.704;280;0.972222222222222;350
194;2012;3. Plan 12   ;40;70;90;130;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;19;t17.19;0;0;0;1;1;Asalariado;No trabaja;1;83;0;0;0;1;1;0;NA;7/3/2012;7/3/2012;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Publica;0.444444444444444;40;0.388888888888889;70;0.333333333333333;90;0.361111111111111;130
